Sr_No,Region ,Woreda,HC,Latitude,Longitude 
1,Gambela,Gambela_Zuria,Abole,8.1879,34.3989
2,Amhara,Bahirdar,Andassa ,11.50241,37.48655
3,Oromia,Asendabo,Asendabo ,7.75904,37.22329
4,Oromia,Batu,Batu,7.93833,38.71916
5,SNNP,Dilla,Dilla,6.4007,38.3111
6,Somali,Erer,Erer,9.5614,41.3833
7,Amhara,Jabie,Jiga,10.67261,37.70038
8,SNNP,ArbaMinch,Lante,6.13325,37.63912
9,Oromia,Fentale,Metehara ,8.83826,39.92292
10,SNNP,ArbaMinch,Secha,6.03333,37.555
11,SNNP,ArbaMinch,Shile,6.3,37.11667
12,Amhara,Woreta,Woreta,11.92777,37.75625
